name,lat,lon
다성일식,37.5569016,126.9329799
봉산집,37.5344248,126.9750082
창고43,37.5189582,126.9307458
돕감자탕,37.5414873,127.0692836
대보명가,37.6456867,127.0071573
해뜨는집,37.5900691,127.0084044
아이 해브어 드림,37.4986175,127.0278876
아현동 간장게장,37.5546000,126.9561000
왕소금구이,37.5204088,127.0361107
라틀리에 모니크,37.5261816,127.0448766
비스트로 딩고,37.5210777,127.0198099
줄리에뜨,37.4947204,127.0009384
충주집,37.5862178,127.0345490
영화루,37.5801384,126.9690401
일품헌,37.4845029,127.0391935
립스테이크,37.5955682,126.9640695
오가와,37.5720260,126.9743351
까사디노아,37.5620845,126.9235561
충무로 주꾸미 불고기,37.5617693,126.9921966
